"input","output"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": """",
      ""authentication"": {
        ""simple"": """"
      }
    }
  }
}","{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""subschemaSubentry""
      ]
    }
  }
}","{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""subschemaSubentry"",
          ""vals"": [
            ""cn=Subschema""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 2,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=Subschema"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""equalityMatch"": {
          ""attributeDesc"": ""objectClass"",
          ""assertionValue"": ""subschema""
        }
      },
      ""attributes"": [
        ""createTimestamp"",
        ""modifyTimestamp""
      ]
    }
  }
}","{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""cn=Subschema"",
      ""attributes"": [
        {
          ""type"": ""createTimestamp"",
          ""vals"": [
            ""20250819184856Z""
          ]
        },
        {
          ""type"": ""modifyTimestamp"",
          ""vals"": [
            ""20250819184856Z""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 3,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""namingContexts"",
        ""subschemaSubentry"",
        ""supportedLDAPVersion"",
        ""supportedSASLMechanisms"",
        ""supportedExtension"",
        ""supportedControl"",
        ""supportedFeatures"",
        ""vendorName"",
        ""vendorVersion"",
        ""+"",
        ""objectClass""
      ]
    }
  }
}","{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""OpenLDAProotDSE""
          ]
        },
        {
          ""type"": ""structuralObjectClass"",
          ""vals"": [
            ""OpenLDAProotDSE""
          ]
        },
        {
          ""type"": ""configContext"",
          ""vals"": [
            ""cn=config""
          ]
        },
        {
          ""type"": ""namingContexts"",
          ""vals"": [
            ""dc=uc3m,dc=es""
          ]
        },
        {
          ""type"": ""supportedControl"",
          ""vals"": [
            ""2.16.840.1.113730.3.4.18"",
            ""2.16.840.1.113730.3.4.2"",
            ""1.3.6.1.4.1.4203.1.10.1"",
            ""1.3.6.1.1.22"",
            ""1.2.840.113556.1.4.319"",
            ""1.2.826.0.1.3344810.2.3"",
            ""1.3.6.1.1.13.2"",
            ""1.3.6.1.1.13.1"",
            ""1.3.6.1.1.12""
          ]
        },
        {
          ""type"": ""supportedExtension"",
          ""vals"": [
            ""1.3.6.1.4.1.4203.1.11.1"",
            ""1.3.6.1.4.1.4203.1.11.3"",
            ""1.3.6.1.1.8"",
            ""1.3.6.1.1.21.3"",
            ""1.3.6.1.1.21.1""
          ]
        },
        {
          ""type"": ""supportedFeatures"",
          ""vals"": [
            ""1.3.6.1.1.14"",
            ""1.3.6.1.4.1.4203.1.5.1"",
            ""1.3.6.1.4.1.4203.1.5.2"",
            ""1.3.6.1.4.1.4203.1.5.3"",
            ""1.3.6.1.4.1.4203.1.5.4"",
            ""1.3.6.1.4.1.4203.1.5.5""
          ]
        },
        {
          ""type"": ""supportedLDAPVersion"",
          ""vals"": [
            ""3""
          ]
        },
        {
          ""type"": ""supportedSASLMechanisms"",
          ""vals"": [
            ""SCRAM-SHA-512"",
            ""SCRAM-SHA-384"",
            ""SCRAM-SHA-256"",
            ""SCRAM-SHA-224"",
            ""SCRAM-SHA-1"",
            ""DIGEST-MD5"",
            ""NTLM"",
            ""CRAM-MD5""
          ]
        },
        {
          ""type"": ""entryDN"",
          ""vals"": [
            """"
          ]
        },
        {
          ""type"": ""subschemaSubentry"",
          ""vals"": [
            ""cn=Subschema""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 4,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": """",
      ""scope"": 0,
      ""derefAliases"": 0,
      ""sizeLimit"": 0,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""*""
      ]
    }
  }
}","{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": """",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""OpenLDAProotDSE""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 5,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=Subschema"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}","{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""cn=Subschema"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""subentry"",
            ""subschema"",
            ""extensibleObject""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 6,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 7,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""cn=config"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}","{
  ""messageID"": 7,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 32,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 8,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""dc=uc3m,dc=es"",
      ""scope"": 0,
      ""derefAliases"": 3,
      ""sizeLimit"": 1,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""present"": ""objectClass""
      },
      ""attributes"": [
        ""hasSubordinates"",
        ""objectClass""
      ]
    }
  }
}","{
  ""messageID"": 8,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""dc=uc3m,dc=es"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""dcObject"",
            ""organization""
          ]
        },
        {
          ""type"": ""hasSubordinates"",
          ""vals"": [
            ""TRUE""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 8,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchRequest"": {
      ""baseObject"": ""dc=uc3m,dc=es"",
      ""scope"": 2,
      ""derefAliases"": 3,
      ""sizeLimit"": 4,
      ""timeLimit"": 0,
      ""typesOnly"": false,
      ""filter"": {
        ""equalityMatch"": {
          ""attributeDesc"": ""objectClass"",
          ""assertionValue"": ""organizationalUnit""
        }
      },
      ""attributes"": [
        ""cn"",
        ""sn"",
        ""mail"",
        ""objectClass""
      ]
    }
  }
}","{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Advancement Services,dc=uc3m,dc=es"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Sociology,ou=Advancement Services,dc=uc3m,dc=es"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Cashiers Office,dc=uc3m,dc=es"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResEntry"": {
      ""objectName"": ""ou=Human Resources,ou=Cashiers Office,dc=uc3m,dc=es"",
      ""attributes"": [
        {
          ""type"": ""objectClass"",
          ""vals"": [
            ""top"",
            ""organizationalUnit""
          ]
        }
      ]
    }
  }
}
{
  ""messageID"": 9,
  ""protocolOp"": {
    ""searchResDone"": {
      ""resultCode"": 4,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
"{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindRequest"": {
      ""version"": 3,
      ""name"": ""cn=admin,dc=uc3m,dc=es"",
      ""authentication"": {
        ""simple"": ""ytrewq""
      }
    }
  }
}","{
  ""messageID"": 1,
  ""protocolOp"": {
    ""bindResponse"": {
      ""resultCode"": 0,
      ""matchedDN"": """",
      ""diagnosticMessage"": """"
    }
  }
}"
